task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5094	d5/202c11	6404039	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:48.483	2m 2s	3s	98.1%	126.9 MB	237 MB	333.2 MB	33.8 MB
5097	bd/1dc259	6404040	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:49.483	2m 1s	2s	91.6%	61.1 MB	159.1 MB	306.9 MB	9.8 MB
5100	e6/5513e9	6404044	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:53.485	1m 57s	2s	95.2%	105.4 MB	204.3 MB	298.3 MB	5.3 MB
5105	b8/ed154a	6404046	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:55.482	1m 55s	2s	93.3%	53.6 MB	147.1 MB	298.4 MB	3.1 MB
5101	88/9eb254	6404045	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:54.482	1m 56s	3s	93.3%	33.1 MB	120.9 MB	305.6 MB	8.3 MB
5104	fb/790f52	6404047	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:56.483	1m 54s	2s	96.4%	111.4 MB	178.1 MB	305.8 MB	9.3 MB
5099	e7/951c48	6404043	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:52.486	1m 58s	9s	97.7%	139.1 MB	247 MB	405.4 MB	97.3 MB
5106	fa/74d642	6404048	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:57.484	1m 53s	1s	96.1%	112.6 MB	215.6 MB	298.5 MB	3.1 MB
5103	fb/ab4536	6404051	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:00.483	1m 50s	3s	97.6%	122.7 MB	233 MB	329.8 MB	32.2 MB
5102	4e/5abed4	6404050	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:59.484	1m 51s	2s	96.0%	117.6 MB	223.9 MB	302 MB	5.5 MB
5107	49/b920e8	6404049	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:58.482	1m 52s	1s	97.1%	3.2 MB	5.5 MB	293.7 MB	2 MB
5109	b1/425c21	6404053	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:02.485	1m 48s	8s	98.0%	135.2 MB	243.9 MB	368.2 MB	60 MB
5115	ca/3db64e	6404056	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:05.483	1m 45s	16s	97.4%	133.8 MB	244.2 MB	391.8 MB	72.9 MB
5110	5d/dbfb98	6404054	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:03.483	1m 47s	2s	97.5%	110.1 MB	175.8 MB	299.4 MB	3.2 MB
5112	26/2f8298	6404055	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:04.485	1m 46s	3s	96.4%	122.7 MB	233.4 MB	310.2 MB	12.8 MB
5108	01/c8e27c	6404052	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:01.483	1m 49s	2s	95.8%	75.1 MB	177.4 MB	300.7 MB	4.8 MB
5113	3c/6900f8	6404057	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:06.484	1m 44s	2s	96.9%	3.2 MB	5.5 MB	300.7 MB	4.4 MB
5111	3e/e639ce	6404058	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:07.482	1m 43s	2s	95.9%	117.4 MB	224 MB	314.7 MB	18.1 MB
5116	be/0f613a	6404060	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:09.482	1m 41s	17s	97.7%	135.7 MB	245.6 MB	415.7 MB	93.1 MB
5114	e5/580974	6404059	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:08.484	1m 42s	7s	97.5%	132 MB	242.7 MB	355.4 MB	52.3 MB
5118	55/32ca35	6404062	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:11.482	1m 39s	2s	96.5%	118 MB	224.1 MB	307.1 MB	9.5 MB
5120	8b/9f021f	6404063	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:12.482	1m 38s	4s	96.7%	121.7 MB	224.9 MB	342.3 MB	42.9 MB
5126	98/0f5474	6404067	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:28:16.482	1m 34s	2s	95.0%	115.6 MB	221 MB	299.7 MB	3.6 MB
